Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
239,Danny Jansen,30,MIL,0.7,25,78,67,10,17,3,0,3,7,0,0,9,18,0.254,0.346,0.433,0.779,116,0.352,123,29,1,1,0,1,0,2/HD,,janseda01
240,Garrett Mitchell*,26,MIL,0,25,78,68,9,14,4,1,0,3,3,0,7,25,0.206,0.286,0.294,0.58,63,0.269,58,20,0,1,1,1,0,8/H,,mitchga01
241,Hayden Senger,28,NYM,-0.2,33,78,72,8,13,1,0,0,4,0,0,3,22,0.181,0.221,0.194,0.415,19,0.19,11,14,3,1,1,1,0,2/H,,sengeha01
242,Jorge Barrosa#,24,ARI,-0.7,33,77,71,8,10,3,0,1,7,0,0,2,22,0.141,0.169,0.225,0.394,8,0.17,-7,16,1,1,0,3,0,87/H9D,,barrojo01
243,Eric Haase,32,MIL,0.2,30,77,70,11,16,3,0,2,9,0,0,4,31,0.229,0.289,0.357,0.647,79,0.285,76,25,1,2,1,0,0,2/DH,,haaseer01
244,Blake Dunn,26,CIN,-0.1,30,75,60,10,9,2,0,1,7,1,1,8,25,0.15,0.32,0.233,0.553,56,0.27,60,14,1,7,0,0,0,97/8HD,,dunnbl01
245,Jordan Lawlar,22,ARI,-0.4,28,74,66,9,12,7,0,0,5,2,0,6,26,0.182,0.257,0.288,0.545,51,0.251,45,19,0,1,0,1,0,5H/D46,,lawlajo01
246,Sean Bouchard,29,COL,-0.9,32,73,66,7,11,0,1,1,7,1,1,7,27,0.167,0.247,0.242,0.489,32,0.235,32,16,2,0,0,0,0,9H/D73,,bouchse01
247,Andrés Chaparro,26,WSN,-0.4,34,73,66,4,12,2,0,1,5,0,0,5,22,0.182,0.247,0.258,0.504,44,0.231,42,17,0,1,0,1,0,3/HD,,chapaan01
248,Anthony Seigler*,26,MIL,-0.1,34,73,62,6,12,1,0,0,5,2,0,8,16,0.194,0.292,0.21,0.501,43,0.248,44,13,2,1,1,1,0,5H/123D,,seiglan01
249,Nick Yorke,23,PIT,0.3,22,72,69,7,16,3,0,1,8,1,0,3,15,0.232,0.264,0.319,0.583,60,0.273,64,22,1,0,0,0,0,4/395H,,yorkeni01
250,José Fermín,26,STL,0.8,30,70,60,5,17,5,0,1,9,2,2,8,10,0.283,0.377,0.417,0.793,127,0.358,137,25,0,1,1,0,0,4/H579D,,fermijo01
251,Moisés Ballesteros*,21,CHC,0.5,20,66,57,12,17,2,1,2,11,0,0,9,12,0.298,0.394,0.474,0.868,152,0.39,159,27,2,0,0,0,1,D/H32,,ballemo01
252,Nathan Church*,24,STL,0.4,27,65,56,9,10,1,0,1,8,1,0,3,18,0.179,0.254,0.25,0.504,45,0.249,50,14,0,3,2,1,0,8/97H,,churcna01
253,Jarred Kelenic*,25,ATL,-0.5,24,65,60,7,10,2,0,2,2,0,1,5,23,0.167,0.231,0.3,0.531,49,0.23,44,18,1,0,0,0,0,9/H7D,,kelenja01
254,Brett Wisely*,26,2TM,0.3,26,63,54,5,10,4,0,1,10,1,1,7,14,0.185,0.279,0.315,0.594,70,0.265,70,17,0,0,2,0,0,4/H56D,,wiselbr01
254,Brett Wisely*,26,SFG,0.3,22,54,48,5,10,4,0,1,10,1,1,4,10,0.208,0.269,0.354,0.623,77,0.27,75,17,0,0,2,0,0,4/H56D,,wiselbr01
254,Brett Wisely*,26,ATL,0,4,9,6,0,0,0,0,0,0,0,0,3,4,0,0.333,0,0.333,6,0.232,41,0,0,0,0,0,0,/4H,,wiselbr01
255,Maximo Acosta,22,MIA,0,19,61,54,7,11,1,0,3,5,1,2,6,17,0.204,0.295,0.389,0.684,89,0.305,97,21,0,1,0,0,0,5/46,,acostma02
256,Blaine Crim,28,COL,0.3,15,61,54,9,13,2,0,5,12,0,0,5,22,0.241,0.295,0.556,0.851,121,0.351,112,30,0,0,0,2,0,3/D,,crimbl01
257,Oscar González,27,SDP,-0.5,21,61,59,2,13,1,0,0,4,0,1,2,13,0.22,0.246,0.237,0.483,35,0.209,26,14,1,0,0,0,0,7/9HD,,gonzaos01
258,Sam Hilliard*,31,COL,-0.2,20,61,51,8,10,3,1,2,3,2,1,10,23,0.196,0.328,0.412,0.74,97,0.325,94,21,1,0,0,0,0,/7H89D,,hillisa01
259,Joey Wiemer,26,MIA,0.4,27,61,55,7,13,2,0,3,12,0,0,2,23,0.236,0.279,0.436,0.715,96,0.297,82,24,0,2,0,2,1,9/H7,,wiemejo01
260,Vinny Capra,28,MIL,-0.6,24,59,54,6,4,0,0,1,4,1,0,2,15,0.074,0.121,0.13,0.25,-30,0.154,-22,7,4,1,1,1,0,5/H46D,,capravi01
261,Sam Huff,27,SFG,-0.2,20,58,53,5,11,1,0,2,4,0,0,4,25,0.208,0.259,0.34,0.598,70,0.264,67,18,2,0,0,1,0,2,,huffsa01
262,Ben Rortvedt*,27,LAD,0.1,18,58,49,7,11,2,0,1,4,0,0,4,9,0.224,0.309,0.327,0.636,80,0.289,78,16,1,2,3,0,0,2,,rortvbe01
263,Sal Stewart,21,CIN,0.5,18,58,55,11,14,1,0,5,8,0,0,3,15,0.255,0.293,0.545,0.839,123,0.351,115,30,1,0,0,0,0,3/5H,,stewasa02
264,Endy Rodríguez#,25,PIT,-0.5,18,57,52,5,9,4,0,0,2,0,1,5,14,0.173,0.246,0.25,0.496,38,0.219,35,13,0,0,0,0,0,3/2H,,rodrien01
265,Jerar Encarnacion,27,SFG,0,19,56,55,5,11,3,0,2,7,1,0,1,15,0.2,0.214,0.364,0.578,61,0.251,55,20,3,0,0,0,0,9/H73,,encarje01
266,Stuart Fairchild,29,ATL,-0.3,28,55,51,7,11,4,1,0,2,2,1,4,15,0.216,0.273,0.333,0.606,70,0.281,76,17,2,0,0,0,0,9H/D78,,faircst01
267,Drew Millas#,27,WSN,0.2,18,55,49,6,15,5,1,0,7,2,0,4,7,0.306,0.358,0.449,0.807,129,0.357,126,22,0,0,1,0,0,2/DH,,milladr01
268,Bryan De La Cruz,28,ATL,-0.2,16,50,47,1,9,1,0,0,0,1,0,3,18,0.191,0.24,0.213,0.453,30,0.232,37,10,1,0,0,0,0,7/H9D,,delacbr01
269,Jared Young*,29,NYM,0.1,22,47,43,5,8,1,0,4,6,0,0,2,16,0.186,0.234,0.488,0.722,98,0.302,92,21,1,1,0,1,0,D/H137,,youngja02
270,Jimmy Crooks*,23,STL,-0.3,15,46,45,3,6,0,1,1,1,0,0,0,17,0.133,0.152,0.244,0.397,11,0.19,12,11,1,1,0,0,0,2/DH,,crookji01
271,Jonah Bride,29,MIA,-0.4,12,45,40,3,4,0,0,0,2,0,0,5,15,0.1,0.2,0.1,0.3,-12,0.161,-16,4,0,0,0,0,1,/D35H,,bridejo01
272,Austin Barnes,35,LAD,-0.3,13,44,42,4,9,3,0,0,2,0,0,1,14,0.214,0.233,0.286,0.518,46,0.227,34,12,1,0,1,0,0,2/3DH,,barneau01
273,Rece Hinds,24,CIN,-0.4,15,44,43,6,5,1,0,2,3,0,0,1,21,0.116,0.136,0.279,0.415,10,0.175,-9,12,1,0,0,0,0,9/H,,hindsre01
274,James Outman*,28,LAD,-0.2,22,44,39,8,4,1,0,2,4,0,0,4,18,0.103,0.205,0.282,0.487,36,0.221,31,11,0,1,0,0,0,8/H9,,outmaja01
275,Trenton Brooks*,29,SDP,-0.5,25,43,41,5,6,2,0,1,2,0,0,2,13,0.146,0.186,0.268,0.454,24,0.198,13,11,2,0,0,0,0,HD/7,,brooktr01
276,Alan Trejo,29,COL,-0.4,13,43,40,3,7,2,0,0,1,0,0,1,7,0.175,0.19,0.225,0.415,11,0.183,-9,9,3,0,1,1,0,06월 01일,,trejoal01
277,Austin Wynns,34,CIN,0.7,18,43,40,6,16,3,0,3,11,0,0,3,12,0.4,0.442,0.7,1.142,207,0.482,208,28,1,0,0,0,0,2/H3D,,wynnsau01
278,Daz Cameron,28,MIL,-0.5,21,42,41,7,8,1,0,1,3,1,0,1,13,0.195,0.214,0.293,0.507,40,0.229,32,12,1,0,0,0,0,9H/7,,camerda01
279,Matt Gorski,27,PIT,-0.3,15,42,41,2,8,0,1,2,4,0,1,1,16,0.195,0.214,0.39,0.605,63,0.241,52,16,1,0,0,0,0,3/H87,,gorskma01
280,Luken Baker,28,STL,-0.1,19,41,34,3,8,3,0,0,2,0,0,7,10,0.235,0.366,0.324,0.689,100,0.318,102,11,3,0,0,0,0,DH/3,,bakerlu01
281,Kris Bryant,33,COL,-0.5,11,41,39,2,6,2,0,0,1,0,0,2,13,0.154,0.195,0.205,0.4,8,0.183,-7,8,1,0,0,0,0,D/H,,bryankr01
282,Oliver Dunn*,27,MIL,-0.2,14,41,36,4,6,2,0,0,6,1,0,2,11,0.167,0.205,0.222,0.427,19,0.196,4,8,0,0,2,1,0,5/3H,,dunnol01
283,Austin Nola,35,COL,-0.2,14,41,38,2,7,1,0,0,1,0,0,2,5,0.184,0.225,0.211,0.436,18,0.199,2,8,2,0,1,0,0,2/13DH,,nolaau01
284,Yuli Gurriel,41,SDP,-0.5,16,40,36,2,4,1,0,0,3,0,0,4,8,0.111,0.2,0.139,0.339,-3,0.169,-9,5,0,0,0,0,0,D/H3,,gourryu01
285,Jorge Alfaro,32,WSN,-0.3,14,39,39,3,10,2,0,0,3,1,0,0,14,0.256,0.256,0.308,0.564,60,0.271,66,12,0,0,0,0,0,2,,alfarjo01
286,Cam Devanney,28,PIT,-0.5,14,38,36,1,5,1,0,0,1,0,1,2,21,0.139,0.184,0.167,0.351,-2,0.151,-10,6,1,0,0,0,0,5/H,,devanca01
287,Víctor Mesa Jr.*,23,MIA,0.1,16,38,32,7,6,2,0,1,6,0,0,5,5,0.188,0.297,0.344,0.641,78,0.287,74,11,0,0,1,0,0,/798H,,mesavi01
288,Bryce Eldridge*,20,SFG,-0.2,10,37,28,1,3,2,0,0,4,0,0,7,13,0.107,0.297,0.179,0.476,41,0.243,53,5,0,1,0,1,0,/D3,,eldribr01
289,Zac Veen*,23,COL,-0.3,12,37,34,1,4,1,0,1,2,1,1,2,14,0.118,0.189,0.235,0.424,13,0.182,-2,8,0,1,0,0,0,/79H,,veenza01
290,Jose Siri,29,NYM,-0.5,16,36,32,7,2,2,0,0,1,2,0,4,17,0.063,0.167,0.125,0.292,-15,0.16,-17,4,0,0,0,0,0,8/H,,sirijo01
291,Chris Taylor,34,LAD,-0.6,28,35,35,4,7,2,0,0,2,0,1,0,13,0.2,0.2,0.257,0.457,28,0.18,13,9,1,0,0,0,0,7/8H49,,tayloch03
292,Luke Williams,28,ATL,-0.4,39,34,31,5,4,2,0,0,5,5,0,1,9,0.129,0.176,0.194,0.37,5,0.204,-4,6,2,1,0,1,0,6H/15D,,willilu01
293,Aaron Schunk,27,COL,-0.3,16,33,32,1,6,1,0,0,0,0,0,0,10,0.188,0.188,0.219,0.406,9,0.18,-13,7,1,0,1,0,0,/64H5D,,schunaa01
294,José Barrero,27,STL,-0.1,22,31,29,4,4,1,0,1,3,0,0,1,9,0.138,0.194,0.276,0.469,32,0.21,26,8,0,1,0,0,0,/H48695,,garcijo02
295,Daniel Johnson*,29,SFG,0.2,14,31,29,5,5,2,0,1,1,1,0,2,8,0.172,0.226,0.345,0.571,60,0.257,57,10,0,0,0,0,0,/H897,,johnsda07
296,Owen Caissie*,22,CHC,-0.1,12,27,26,4,5,1,0,1,4,0,0,1,11,0.192,0.222,0.346,0.568,63,0.247,58,9,0,0,0,0,0,/9H7D,,caissow01
297,Luis Campusano,26,SDP,-0.4,10,27,21,0,0,0,0,0,0,0,0,6,11,0,0.222,0,0.222,-31,0.155,-18,0,2,0,0,0,0,/DH,,campulu01
298,Mason McCoy,30,SDP,-0.1,18,26,22,5,3,1,0,0,1,2,0,3,7,0.136,0.269,0.182,0.451,29,0.272,52,4,0,1,0,0,0,6/H4D,,mccoyma01
299,Grant McCray*,24,SFG,-0.4,22,26,22,3,2,0,1,0,2,0,0,2,11,0.091,0.16,0.182,0.342,-2,0.155,-14,4,1,0,1,1,0,97/H8,,mccragr01
300,Buddy Kennedy,26,2TM,-0.5,11,26,24,1,1,0,0,0,1,0,0,1,7,0.042,0.115,0.042,0.157,-53,0.121,-41,1,0,1,0,0,0,/53HD,,kennebu01
300,Buddy Kennedy,26,PHI,-0.1,4,8,7,0,0,0,0,0,0,0,0,1,2,0,0.125,0,0.125,-61,0.087,-69,0,0,0,0,0,0,/35DH,,kennebu01
300,Buddy Kennedy,26,LAD,-0.3,7,18,17,1,1,0,0,0,1,0,0,0,5,0.059,0.111,0.059,0.17,-50,0.135,-29,1,0,1,0,0,0,/5H,,kennebu01
301,Jihwan Bae*,25,PIT,-0.4,13,25,20,4,1,0,0,0,0,4,1,5,9,0.05,0.24,0.05,0.29,-13,0.19,-4,1,0,0,0,0,0,/H78D9,,baeji01
302,David Villar,28,SFG,0,9,25,20,4,4,1,0,0,1,0,0,4,5,0.2,0.36,0.25,0.61,79,0.295,89,5,1,1,0,0,0,/3H5D,,villada01
303,Tristin English,28,ARI,-0.2,7,23,22,0,2,1,0,0,1,0,0,1,8,0.091,0.13,0.136,0.267,-26,0.124,-40,3,0,0,0,0,0,/3,,englitr01
304,Esteury Ruiz,26,LAD,-0.2,19,23,21,2,4,0,0,1,2,4,0,2,8,0.19,0.261,0.333,0.594,67,0.304,61,7,0,0,0,0,0,7/H9,,ruizes01
305,Nicky Lopez*,30,CHC,-0.3,14,22,18,2,1,0,0,0,1,0,0,4,3,0.056,0.227,0.056,0.283,-11,0.163,-2,1,1,0,0,0,0,5/H64D,,lopezni01
306,Keston Hiura,28,COL,0,8,21,18,3,4,1,0,0,1,0,0,0,7,0.222,0.333,0.278,0.611,67,0.292,70,5,0,3,0,0,0,/3,,hiurake01
307,José Azócar,29,2TM,0,14,21,19,5,5,0,0,0,1,1,0,2,1,0.263,0.333,0.263,0.596,73,0.288,74,5,0,0,0,0,0,/H978D,,azocajo01
307,José Azócar,29,NYM,0,12,20,18,5,5,0,0,0,1,1,0,2,1,0.278,0.35,0.278,0.628,82,0.302,84,5,0,0,0,0,0,/H789,,azocajo01
307,José Azócar,29,ATL,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-117,0,0,0,0,0,0,/H9D,,azocajo01
308,Connor Kaiser,28,ARI,-0.3,11,19,18,1,2,1,0,0,2,0,0,1,5,0.111,0.158,0.167,0.325,-10,0.15,-22,3,1,0,0,0,0,/4H,,kaiseco01
309,Carlos Santana#,39,CHC,-0.2,8,19,19,0,2,1,0,0,2,0,0,0,5,0.105,0.105,0.158,0.263,-25,0.113,-37,3,0,0,0,0,0,/3DH,,santaca01
310,Michael Siani*,25,STL,-0.1,19,19,17,4,4,0,0,0,0,0,0,2,7,0.235,0.316,0.235,0.551,62,0.263,63,4,0,0,0,0,0,8/H,,sianimi01
311,Rafael Flores,24,PIT,-0.1,7,17,15,0,3,2,0,0,0,0,0,2,7,0.2,0.294,0.333,0.627,73,0.282,73,5,0,0,0,0,0,/32H,,florera03
312,Owen Miller,28,COL,0,9,17,14,0,2,0,0,0,1,1,0,2,4,0.143,0.294,0.143,0.437,23,0.245,27,2,0,1,0,0,0,/4H5D,,milleow01
313,Will Wagner*,26,SDP,-0.1,15,17,15,2,2,0,0,0,0,0,0,2,2,0.133,0.235,0.133,0.369,6,0.188,6,2,1,0,0,0,0,H/45,,wagnewi01
314,Tirso Ornelas*,25,SDP,-0.3,7,16,14,0,1,0,0,0,1,0,0,2,2,0.071,0.188,0.071,0.259,-24,0.143,-26,1,1,0,0,0,0,/7H8D,,ornelti01
315,Jack Winkler,26,MIA,-0.2,14,16,16,2,4,2,0,0,0,1,0,0,4,0.25,0.25,0.375,0.625,71,0.284,63,6,0,0,0,0,0,/4H365,,winklja01
316,Jacob Hurtubise*,27,CIN,-0.1,12,15,12,3,1,0,0,0,0,0,0,1,6,0.083,0.267,0.083,0.35,3,0.204,10,1,0,2,0,0,0,/H79,,hurtuja01
317,Brian Navarreto,30,MIA,0.2,8,15,14,3,4,2,0,1,5,0,0,0,3,0.286,0.267,0.643,0.91,143,0.362,128,9,0,0,0,1,0,/2,,navarbr01
318,Ryan Vilade,26,2TM,-0.1,8,15,13,1,1,0,0,0,0,0,0,2,5,0.077,0.2,0.077,0.277,-16,0.153,-15,1,1,0,0,0,0,/97HD,,viladry01
318,Ryan Vilade,26,STL,-0.1,7,15,13,1,1,0,0,0,0,0,0,2,5,0.077,0.2,0.077,0.277,-16,0.153,-15,1,1,0,0,0,0,/9H7D,,viladry01
318,Ryan Vilade,26,CIN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/7,,viladry01
319,Gage Workman*,25,CHC,-0.2,9,15,14,0,3,1,0,0,2,1,0,1,6,0.214,0.267,0.286,0.552,61,0.26,56,4,0,0,0,0,0,/56DH,,workmga01
320,Tyler Black*,24,MIL,0.1,5,13,8,1,2,1,0,0,1,0,1,5,1,0.25,0.538,0.375,0.913,162,0.395,181,3,0,0,0,0,0,/H379,,blackty01
321,Kevin Alcántara,22,CHC,0.1,10,12,11,2,4,0,0,0,1,1,0,1,4,0.364,0.417,0.364,0.78,131,0.379,137,4,0,0,0,0,0,/8H7D9,,alcanke01
322,Sandy León#,36,ATL,-0.1,5,12,12,1,1,0,0,1,3,0,0,0,4,0.083,0.083,0.333,0.417,10,0.169,-4,4,0,0,0,0,0,/2,,leonsa01
323,Nick Solak,30,PIT,-0.5,4,11,11,0,1,0,0,0,0,0,0,0,2,0.091,0.091,0.091,0.182,-49,0.073,-75,1,0,0,0,0,0,/347H,,solakni01
324,Will Banfield,25,CIN,-0.2,7,10,10,0,1,0,0,0,0,0,0,0,6,0.1,0.1,0.1,0.2,-45,0.09,-70,1,1,0,0,0,0,/2,,banfiwi01
325,Logan Porter,29,SFG,0,4,9,7,2,1,0,0,0,1,0,0,1,2,0.143,0.333,0.143,0.476,44,0.258,64,1,0,1,0,0,0,/21,,portelo01
326,Brett Sullivan*,31,PIT,0,3,9,6,1,1,0,0,0,2,0,0,1,3,0.167,0.333,0.167,0.5,45,0.258,56,1,0,1,0,1,0,/2,,sullibr01
327,Donovan Walton*,31,PHI,-0.1,2,9,8,1,1,0,0,0,1,0,0,0,1,0.125,0.125,0.125,0.25,-31,0.113,-70,1,0,0,1,0,0,/4,,waltodo01
328,Cal Stevenson*,28,PHI,-0.2,5,8,8,0,2,0,0,0,1,0,0,0,2,0.25,0.25,0.25,0.5,39,0.213,20,2,0,0,0,0,0,/8H,,steveca01
329,Eddie Rosario*,33,2TM,0,5,8,8,1,1,0,0,0,0,0,0,0,2,0.125,0.125,0.125,0.25,-29,0.113,-43,1,0,0,0,0,0,/DH9,,rosared01
329,Eddie Rosario*,33,LAD,0,2,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,42,0.225,36,1,0,0,0,0,0,/D,,rosared01
329,Eddie Rosario*,33,ATL,0,3,4,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-121,0,0,0,0,0,0,/H9,,rosared01
330,Rob Brantly*,35,MIA,0,3,7,7,0,3,0,0,0,1,0,0,0,1,0.429,0.429,0.429,0.857,141,0.372,136,3,0,0,0,0,0,/2,,brantro01
331,Tsung-Che Cheng*,23,PIT,0,3,7,7,0,0,0,0,0,0,0,1,0,3,0,0,0,0,-100,0.057,-35,0,0,0,0,0,0,/64,,chengts01
332,Kody Clemens*,29,PHI,-0.1,7,7,6,0,0,0,0,0,0,0,0,1,0,0,0.143,0,0.143,-56,0.1,-60,0,0,0,0,0,0,/H47D,,clemeko01
333,Steward Berroa#,26,MIL,0.2,2,6,5,0,0,0,0,0,0,1,0,1,2,0,0.167,0,0.167,-48,0.308,64,0,0,0,0,0,0,/8,,berrost01
334,Tyler Callihan*,25,CIN,-0.2,4,6,6,0,1,0,0,0,1,0,0,0,1,0.167,0.167,0.167,0.333,-8,0.15,-27,1,0,0,0,0,0,/74,,callity01
335,Billy Cook,26,PIT,0,3,6,6,1,2,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,86,0.3,86,2,0,0,0,0,0,/9H38,,cookbi01
336,César Prieto*,26,STL,-0.2,3,6,6,0,1,0,0,0,0,0,0,0,5,0.167,0.167,0.167,0.333,-4,0.134,-27,1,0,0,0,0,0,/4HD,,prietce01
337,Chadwick Tromp,30,ATL,0,2,6,5,0,0,0,0,0,0,0,0,1,2,0,0.167,0,0.167,-47,0.116,-41,0,1,0,0,0,0,/2,,trompch01
338,Sergio Alcántara#,28,SFG,-0.1,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,-117,0,0,0,0,0,0,/56,,alcanse01
339,Aramis Garcia,32,ARI,-0.1,2,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,-126,0,0,0,0,0,0,/2,,garciar01
340,Trey Lipscomb,25,WSN,0.1,3,4,4,1,2,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,187,0.426,179,2,0,0,0,0,0,/356H,,lipsctr01
341,Jonathan Ornelas,25,ATL,0.1,2,4,4,1,2,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,184,0.402,160,2,0,0,0,0,0,/65,,orneljo01
342,Drew Avans*,29,MIL,-0.1,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-100,0,-126,0,0,0,0,1,0,/7,,avansdr01
343,Hunter Feduccia*,28,LAD,0,2,3,2,0,0,0,0,0,0,0,0,1,1,0,0.333,0,0.333,6,0.232,40,0,0,0,0,0,0,/H3,,feduchu01
344,Drew Romo#,23,COL,-0.1,3,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,-134,0,0,0,0,0,0,/H2D,,romodr01
345,CJ Stubbs,28,WSN,0.1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-120,0,0,0,0,0,0,/2,,stubbcj01
346,Justin Dean,28,LAD,0,18,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-100,0.122,-126,0,0,0,0,0,0,8/H,,deanju01
347,Chuckie Robinson,30,LAD,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-333,0,0,0,1,0,0,/2,,robinch04
348,Travis Jankowski*,34,NYM,0,4,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,1,0,0,/H179D,,jankotr01
349,Ryne Nelson,27,ARI,0.1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,2,457,0.901,500,1,0,0,0,0,0,1/H,,nelsory01
350,Shinnosuke Ogasawara*,27,WSN,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-117,0,0,0,0,0,0,1,,ogasash01
351,Colin Rea,34,CHC,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-108,0,0,0,0,0,0,1,,reaco01
352,Garrett Stubbs*,32,PHI,0,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-125,0,0,0,0,0,0,/DH2,,stubbga01
353,Zach Agnos,24,COL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,agnosza01
354,Kyle Backhus*,27,ARI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,backhky01
355,Anthony Banda*,31,LAD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bandaan01
356,Jake Bird,29,COL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,birdja01
357,Hayden Birdsong,23,SFG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,birdsha01
358,Cade Cavalli,26,WSN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,cavalca01
359,Angel Chivilli,22,COL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,chivian01
360,John Curtiss,32,ARI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,curtijo02
361,Edwin Díaz,31,NYM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,AS,diazed04
362,Jose A. Ferrer*,25,WSN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,ferrejo01
363,Brandyn Garcia*,25,ARI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,garcibr02
364,Seth Halvorsen,25,COL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,halvose01
365,Ryan Helsley,30,STL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,helslry01
366,Drey Jameson,27,ARI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,jamesdr01
367,Joe Mantiply,34,ARI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,mantijo01
368,Justin Martínez,23,ARI,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,martiju01
369,Phil Maton,32,STL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,matonph01
370,Juan Mejia,24,COL,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,mejiaju01
371,Shelby Miller,34,ARI,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,millesh01
372,Juan Morillo,26,ARI,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,morilju02
373,Andre Pallante,26,STL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,pallaan01
374,Konnor Pilkington*,27,WSN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,pilkiko01
375,PJ Poulin,28,WSN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,poulipj01
376,A.J. Puk*,30,ARI,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,pukaj01
377,Tyler Rogers,34,SFG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,rogerty01
378,Jackson Rutledge,26,WSN,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,rutleja01
379,Andrew Saalfrank*,27,ARI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,saalfan01
380,Tanner Scott,30,LAD,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,scottta01
381,Ryne Stanek,33,NYM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,stanery01
382,Ryan Thompson,33,ARI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,thompry02
383,Victor Vodnik,25,COL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,vodnivi01
384,Ryan Walker,29,SFG,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,walkery01
